Yurt Adı	Şehir	İlçe	Tür	Kapasite
ÖZEL ATA YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Tekirdağ	Çorlu	Kız	30 kişilik
ÖZEL ATA YÜKSEKÖĞRENIM KıZ ÖĞRENCI YURDU	Antalya	Kepez	Kız	74 kişilik
ÖZEL ATA YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	Eskişehir	Tepebaşı	Erkek	139 kişilik
ÖZEL ATA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Denizli	Pamukkale	Erkek	120 kişilik
ÖZEL ATLAS BİR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İzmir	Balçova	Kız	56 kişilik
ÖZEL ATLAS YÜKSEK ÖĞRENIM ERKEK ÖĞRENCI YURDU	İzmir	Menemen	Erkek	91 kişilik
ÖZEL AVCILAR HAYAT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Avcılar	Kız	144 kişilik
ÖZEL AVCILAR YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Avcılar	Erkek	168 kişilik
ÖZEL AVRASYA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Kadıköy	Erkek	322 kişilik
ÖZEL AVRASYA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Fatih	Kız	22 kişilik
ÖZEL AVUKAT SITKI BARUT YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Şanlıurfa	Haliliye	Erkek	60 kişilik
ÖZEL AYASOFYA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Fatih	Erkek	49 kişilik
ÖZEL AYAZ YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	112 kişilik
ÖZEL AYCAN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İzmir	Menemen	Kız	147 kişilik
ÖZEL AYÇA YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Sakarya	Sapanca	Kız	64 kişilik
ÖZEL AYDEMİR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Hatay	Belen	Erkek	148 kişilik
ÖZEL AYDEMİR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Hatay	Belen	Erkek	148 kişilik
ÖZEL AYDIN ARMADA YÜKSEKÖĞRENIM KIZ ÖĞRENCI YURDU	Aydın	Efeler	Kız	153 kişilik
ÖZEL AYDIN AYYILDIZ ÜÇ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Aydın	Efeler	Erkek	62 kişilik
ÖZEL AYDIN AYYILDIZ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Aydın	Efeler	Kız	130 kişilik
ÖZEL AYDIN EFE YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Aydın	Efeler	Kız	85 kişilik
ÖZEL AYDIN IHLAMUR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Aydın	Efeler	Kız	266 kişilik
ÖZEL AYDINLIKEVLER 2 YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Altındağ	Kız	54 kişilik
ÖZEL AYDINLIKEVLER 3 YÜKSEKÖĞRETİM KIZ ÖĞRENCI YURDU	Ankara	Çankaya	Kız	68 kişilik
ÖZEL AYDINLIKEVLER AYAN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Altındağ	Erkek	63 kişilik
ÖZEL AYDINOĞLU YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ PANSİYONU	Tokat	Tokat/Merkez	Erkek	149 kişilik
ÖZEL AYDINOĞLU YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Tokat	Tokat/Merkez	Kız	149 kişilik
ÖZEL AYDIN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Tekirdağ	Süleymanpaşa	Kız	138 kişilik
ÖZEL AYDOĞAN YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Kocaeli	İzmit	Erkek	48 kişilik
ÖZEL AYIŞIĞI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Kız	122 kişilik
ÖZEL AYKANAT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	Eskişehir	Odunpazarı	Kız	24 kişilik
Özel Aylin İki Yükseköğrenim Kız Öğrenci Yurdu	İzmir	Buca	Kız	43 kişilik
ÖZEL AY PERİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Kız	225 kişilik
ÖZEL AYRANCI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	78 kişilik
ÖZEL AYŞE HÜMEYRA ÖKTEN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Denizli	Pamukkale	Kız	150 kişilik
ÖZEL AYSEL ABDULLAH ÖĞÜCÜ YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Kadıköy	Kız	239 kişilik
ÖZEL AYŞE LEYLA AKÇAĞILLAR ÇAĞDAŞ YAŞAMI DESTEKLEME DERNEĞİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Bursa	Nilüfer	Kız	159 kişilik
ÖZEL AYSELI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Diyarbakır	Yenişehir/Diyarbakır	Kız	163 kişilik
ÖZEL AYŞE NEVİN KAYA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Gölbaşı/Ankara	Erkek	76 kişilik
ÖZEL AYYILDIZ PARK YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Kocaeli	İzmit	Erkek	371 kişilik
ÖZEL AYYILDIZ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Adana	Yüreğir	Erkek	222 kişilik
ÖZEL AY-YÜCE YÜKSEK ÖĞRETİM KIZ ÖĞRENCİ YURDU	Uşak	Uşak/Merkez	Kız	159 kişilik
ÖZEL AYZEK ÇAPA YÜKSEKÖĞRENIM KIZ ÖĞRENCİ YURDU	İstanbul	Fatih	Kız	138 kişilik
ÖZEL AZİZ MAHMUD HÜDAYİ VAKFI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Üsküdar	Erkek	87 kişilik
ÖZEL BAĞCILAR ÇINAR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Bağcılar	Erkek	138 kişilik
ÖZEL BAĞLARBAŞI YÜKSEKÖĞRETİM. ERKEK ÖĞRENCİ YURDU	Gaziantep	Şahinbey	Erkek	81 kişilik
ÖZEL BAĞLAR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Amasya	Amasya/Merkez	Kız	106 kişilik
ÖZEL BAHÇEKÖY YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Sarıyer	Erkek	90 kişilik
ÖZEL BAHÇELİ ANAKENT YÜKSEK ÖĞRENİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	120 kişilik
ÖZEL BAHÇELİEVLER ELİT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Bahçelievler	Kız	99 kişilik
ÖZEL BAHÇELİEVLER ERDEMLER YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	86 kişilik
ÖZEL BAHÇELİEVLER YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Bahçelievler	Erkek	520 kişilik
ÖZEL BAHÇELİEVLER YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Çorum	Çorum/Merkez	Erkek	66 kişilik
ÖZEL BAHÇELİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	81 kişilik
ÖZEL BAKIRÇAY YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İzmir	Menemen	Kız	171 kişilik
ÖZEL BAKIRKÖY ÖRNEK YÜKSEKÖĞRENİM KIZ ÖĞRENCİ PANSİYONU	İstanbul	Bakırköy	Kız	59 kişilik
ÖZEL BALCALI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Adana	Sarıçam	Erkek	80 kişilik
ÖZEL BALIKESİR ÜNİVERSİTESİ VAKFI AYTEN BURHAN ERDAYI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Balıkesir	Altıeylül	Kız	228 kişilik
ÖZEL BALIKESİR ÜNİVERSİTESİ VAKFI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Balıkesir	Altıeylül	Erkek	276 kişilik
ÖZEL BALIKLIÇEŞME YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Çanakkale	Biga	Erkek	42 kişilik
ÖZEL BANSES YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Balıkesir	Bandırma	Kız	64 kişilik
ÖZEL BARBAROS YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Erkek	72 kişilik
ÖZEL BARTIN CANDAN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Bartın	Bartın/Merkez	Kız	64 kişilik
ÖZEL BARTIN DOĞA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Bartın	Bartın/Merkez	Kız	61 kişilik
ÖZEL BARTIN ELİF YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Bartın	Bartın/Merkez	Kız	66 kişilik
ÖZEL BARTIN ELİT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Bartın	Bartın/Merkez	Kız	96 kişilik
ÖZEL BAŞAK YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bursa	Nilüfer	Erkek	289 kişilik
ÖZEL BAŞAK YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Trabzon	Ortahisar	Erkek	148 kişilik
ÖZEL BAŞAK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Bursa	Nilüfer	Kız	124 kişilik
ÖZEL BAŞARIR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Denizli	Pamukkale	Kız	59 kişilik
ÖZEL BAŞKENT 2 YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	89 kişilik
ÖZEL BAŞKENT KÜLTÜR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	Antalya	Kepez	Kız	56 kişilik
ÖZEL BAŞKENT YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	105 kişilik
ÖZEL BAŞTÜZEL YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	53 kişilik
ÖZEL BATI KAMPÜSÜ YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Sarıyer	Erkek	796 kişilik
ÖZEL BATI KAMPÜSÜ YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Sarıyer	Kız	575 kişilik
ÖZEL BATI YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İzmir	Bornova	Kız	47 kişilik
ÖZEL BAYRAKTAR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Esenyurt	Erkek	155 kişilik
ÖZEL BAYRAM İKİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Balıkesir	Altıeylül	Kız	70 kişilik
ÖZEL BEDESTEN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Tokat	Tokat/Merkez	Erkek	54 kişilik
ÖZEL BERKAY YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Sinop	Gerze	Erkek	63 kişilik
ÖZEL BERRAK DENİZ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU 2.ŞB	Ankara	Gölbaşı/Ankara	Kız	80 kişilik
ÖZEL BERRA YÜKSEK ÖĞRETİM KIZ ÖĞRENCİ YURDU	Bolu	Bolu/Merkez	Kız	292 kişilik
ÖZEL BEŞEVLER YÜKSEKÖĞRENIM ERKEK YURDU	Ankara	Çankaya	Erkek	78 kişilik
ÖZEL BEŞİKTAŞ BELEDİYESİ ÖZGECAN ASLAN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Beşiktaş	Kız	100 kişilik
ÖZEL BEŞİKTAŞ ELİF ÇETİN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Beşiktaş	Kız	89 kişilik
ÖZEL BEŞİKTAŞ YAKAMOZ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Beşiktaş	Kız	149 kişilik
ÖZEL BEŞİKTAŞ YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Beşiktaş	Erkek	31 kişilik
ÖZEL BEŞİKTAŞ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Beşiktaş	Kız	122 kişilik
ÖZEL BEŞKÖPRÜ YILDIZLAR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Sakarya	Serdivan	Erkek	114 kişilik
ÖZEL BETEK İKİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Aydın	Nazilli	Erkek	153 kişilik
ÖZEL BEYAZKONAK YÜKSEK ÖĞRENİM KIZ ÖĞRENCİ PANSİYONU	Antalya	Kepez	Kız	45 kişilik
ÖZEL BEYAZ KÖŞK YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ PANSİYONU	İstanbul	Üsküdar	Erkek	48 kişilik
ÖZEL BEYKAPI YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Şanlıurfa	Haliliye	Erkek	80 kişilik
ÖZEL BEYKENT ÜNİVERSİTESİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Sarıyer	Erkek	204 kişilik
ÖZEL BEYKOZ BOĞAZİÇİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	İstanbul	Beykoz	Kız	60 kişilik
ÖZEL BEYKOZ YÜKSEKÖĞRENIM KıZ ÖĞRENCI YURDU	İstanbul	Beykoz	Kız	125 kişilik
ÖZEL BEYLER YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	60 kişilik
ÖZEL BEYLİKDÜZÜ SAHİL YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ PANSİYONU	İstanbul	Beylikdüzü	Erkek	25 kişilik
ÖZEL BEYOĞLU ENDERUN YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ PANSİYONU	İstanbul	Beyoğlu	Erkek	20 kişilik
ÖZEL BEYOĞLU KAMPÜSARAY YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Beyoğlu	Kız	169 kişilik
ÖZEL BEYOĞLU PİYALEPARK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Beyoğlu	Kız	267 kişilik
ÖZEL BEYOĞLU SÜTLÜCE TURKUAZ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Beyoğlu	Kız	38 kişilik
ÖZEL BEYRA YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Ankara	Etimesgut	Kız	55 kişilik
ÖZEL BEYZA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Kırklareli	Kırklareli/Merkez	Kız	199 kişilik
ÖZEL BİLECİK İRFAN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bilecik	Bilecik/Merkez	Erkek	48 kişilik
ÖZEL BİLGE HATUN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	İstanbul	Üsküdar	Kız	11 kişilik
ÖZEL BİLGİNLER YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Kütahya	Gediz	Kız	81 kişilik
ÖZEL BİLGİN YÜKSEKÖĞRETİM ERKEK ÖĞRNECİ YURDU	Elazığ	Elazığ/Merkez	Erkek	130 kişilik
ÖZEL BİLGİN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	Manisa	Demirci	Kız	42 kişilik
ÖZEL BİLGİSELİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Kız	207 kişilik
ÖZEL BİLİCİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bursa	Osmangazi	Erkek	46 kişilik
ÖZEL BİLİM VE İNSAN VAKFI ANKARA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ PANSİYONU	Ankara	Altındağ	Erkek	33 kişilik
ÖZEL BİLİM YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	232 kişilik
ÖZEL BİLKAN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Kocaeli	İzmit	Kız	101 kişilik
ÖZEL BİNGÖL İLİM YAYMA CEMİYETİ HACI ŞÖHRET CENGİZ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bingöl	Bingöl/Merkez	Erkek	200 kişilik
ÖZEL BİNGÖL TÜRKİYE GENÇLİK VAKFI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bingöl	Bingöl/Merkez	Erkek	125 kişilik
ÖZEL BİRGÜL HANIM YÜKSEKÖĞRENİM KIZ ÖĞRENCİ APARTI	İzmir	Bornova	Kız	90 kişilik
ÖZEL BİRLİK VAKFI SAKARYA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Sakarya	Serdivan	Erkek	73 kişilik
ÖZEL BİRLİK VAKFI SAKARYA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Sakarya	Serdivan	Kız	99 kişilik
ÖZEL BİRLİK VAKFI SAKARYA YÜKSEKÖĞRETİM MERKEZ KIZ ÖĞRENCİ YURDU	Sakarya	Serdivan	Kız	125 kişilik
ÖZEL BİRLİK VAKFI YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kahramanmaraş	Onikişubat	Erkek	83 kişilik
ÖZEL BIRUNI YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	İstanbul	Zeytinburnu	Erkek	166 kişilik
ÖZEL BIRUNI YÜKSEKÖĞRENIM KıZ ÖĞRENCI YURDU	İstanbul	Zeytinburnu	Kız	320 kişilik
ÖZEL BİRUNİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kırıkkale	Yahşihan	Erkek	198 kişilik
ÖZEL BOĞAZHİSAR YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Erkek	71 kişilik
ÖZEL BOĞAZİÇİ AVCILAR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Avcılar	Erkek	148 kişilik
ÖZEL BOĞAZİÇİ BEYLİKDÜZÜ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Esenyurt	Erkek	383 kişilik
ÖZEL BOĞAZİÇİ ÇARŞI YÜKSEKÖĞRETİM ERKEK YURDU	İstanbul	Beşiktaş	Erkek	149 kişilik
ÖZEL BOĞAZİÇİ KADIKÖY YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Kadıköy	Erkek	500 kişilik
ÖZEL BOĞAZİÇİ SIRACEVİZLER YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Şişli	Erkek	82 kişilik
ÖZEL BOĞAZİÇİ ÜÇ YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Beşiktaş	Erkek	38 kişilik
ÖZEL BOĞAZİÇİ YENİ YOL YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Beşiktaş	Erkek	148 kişilik
ÖZEL BOĞAZİÇİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Erkek	100 kişilik
ÖZEL BOĞAZ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Çanakkale	Çanakkale/Merkez	Kız	150 kişilik
ÖZEL BOLU AKŞEMSEDDİN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bolu	Bolu/Merkez	Erkek	116 kişilik
ÖZEL BOLU UZMAN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bolu	Bolu/Merkez	Erkek	63 kişilik
ÖZEL BOLU YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bolu	Bolu/Merkez	Erkek	107 kişilik
ÖZEL BORNOVA BELEDİYESİ YÜZÜNCÜ YIL YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İzmir	Bornova	Kız	33 kişilik
ÖZEL BORNOVA FORUM YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İzmir	Bornova	Kız	37 kişilik
ÖZEL BORNOVA VİLLA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İzmir	Bornova	Kız	72 kişilik
ÖZEL BORNOVA YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Bornova	Erkek	48 kişilik
ÖZEL BOTANİK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Ordu	Altınordu	Kız	92 kişilik
ÖZEL BOZOK YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Yozgat	Yozgat/Merkez	Erkek	149 kişilik
ÖZEL BUCA ANATOLİA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	64 kişilik
ÖZEL BUCA YILDIZ YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	96 kişilik
ÖZEL BUCA YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	76 kişilik
ÖZEL BULVAR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kocaeli	İzmit	Erkek	48 kişilik
ÖZEL BURSA EĞITIM VE KÜLTÜR VAKFı YÜKSEKÖĞRENIM KıZ ÖĞRENCI YURDU	Bursa	Osmangazi	Kız	114 kişilik
ÖZEL BÜŞRA YILDIZ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Bursa	Nilüfer	Kız	152 kişilik
ÖZEL BÜŞRA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU İKİ	Manisa	Yunusemre	Erkek	133 kişilik
ÖZEL BÜŞRA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Manisa	Yunusemre	Kız	213 kişilik
ÖZEL BÜYÜK ANADOLU İSTANBUL YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Bahçelievler	Kız	133 kişilik
ÖZEL BÜYÜK ARAL YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Aksaray	Aksaray/Merkez	Kız	156 kişilik
ÖZEL BÜYÜKÇEKMECE YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Büyükçekmece	Erkek	147 kişilik
ÖZEL BÜYÜKÇEKMECE YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	İstanbul	Büyükçekmece	Kız	99 kişilik
ÖZEL BÜYÜKORHAN YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Bursa	Büyükorhan	Erkek	40 kişilik
ÖZEL ÇAĞAN YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	Kocaeli	İzmit	Erkek	88 kişilik
ÖZEL ÇAĞDAŞ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ PANSİYONU	Kütahya	Kütahya/Merkez	Erkek	75 kişilik
ÖZEL ÇAĞDAŞ YÜKSEKÖRENIM KıZ ÖĞRENCI YURDU	Antalya	Kepez	Kız	72 kişilik
ÖZEL ÇAĞIŞ ÖĞRENCİ YAŞAM MERKEZLERİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Balıkesir	Altıeylül	Erkek	819 kişilik
ÖZEL ÇAĞIŞ ÖĞRENCİ YAŞAM MERKEZLERİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Balıkesir	Altıeylül	Kız	643 kişilik
ÖZEL ÇAĞIŞ YÜKSEK ÖĞRENİM ERKEK ÖĞRENCİ YURDU	Balıkesir	Bigadiç	Erkek	124 kişilik
ÖZEL ÇAĞLAYAN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Kağıthane	Erkek	84 kişilik
ÖZEL ÇAKIR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	Kütahya	Kütahya/Merkez	Kız	98 kişilik
ÖZEL ÇALAPKULU YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	72 kişilik
ÖZEL ÇAL BELEDİYESİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Denizli	Çal	Kız	69 kişilik
ÖZEL ÇAMLICA YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Üsküdar	Erkek	115 kişilik
ÖZEL ÇAMLICA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Tekirdağ	Çorlu	Erkek	72 kişilik
ÖZEL ÇAMLICA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bursa	Nilüfer	Erkek	251 kişilik
ÖZEL ÇAMLICA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Hatay	Belen	Erkek	44 kişilik
ÖZEL ÇAMLICA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Hatay	Belen	Erkek	44 kişilik
ÖZEL ÇAMLICA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Sinop	Sinop/Merkez	Erkek	58 kişilik
ÖZEL ÇAMLITEPE YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Burdur	Bucak	Erkek	90 kişilik
ÖZEL ÇAMLıK YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	Antalya	Manavgat	Erkek	104 kişilik
ÖZEL CANAN DAĞDEVİREN KIZ ÖĞRENCİ YURDU	İstanbul	Avcılar	Kız	770 kişilik
ÖZEL ÇAN ESENTEPE YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Çanakkale	Çan	Erkek	40 kişilik
ÖZEL ÇANKAYA İLKE YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	67 kişilik
ÖZEL ÇANKAYA YÜKSEKÖĞRENIM KIZ ÖĞRENCI YURDU	Şanlıurfa	Haliliye	Kız	80 kişilik
ÖZEL ÇANKAYA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	107 kişilik
ÖZEL ÇANSA YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Erkek	101 kişilik
