Yurt Adı	Şehir	İlçe	Tür	Kapasite
GAZİ AYŞE HANIM ÖĞRENCİ YURDU	İzmir	Buca	Kız	0(232) 503-92-78
GAZİ EVRENOS ÖĞRENCİ YURDU	Edirne	Keşan	Erkek	—
GAZİ SÜLEYMAN PAŞA ÖĞRENCİ YURDU	Kocaeli	İzmit	Erkek	0(262) 359-10-49
GAZİ UMURBEY ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	İzmir	Buca	Erkek	0(232) 504-20-91
GAZİ YURDU	Ankara	Yenimahalle	Kız	0(312) 212-82-56
GAZİKENT ÖĞRENCİ YURDU	Gaziantep	Şahinbey	Kız	0(342) 424-00-11
GAZİPAŞA ÖĞRENCİ YURDU	Antalya	Gazipaşa	Karma	0(242) 502-51-68
GAZİYE HATUN ÖĞRENCİ YURDU	Hatay	İskenderun	Kız	0(326) 615-33-14
GEBZE NİLÜFER HATUN ÖĞRENCİ YURDU	Kocaeli	Gebze	Kız	—
GEBZE ÖĞRENCİ YURDU	Kocaeli	Gebze	Karma	0(262) 759-11-71
GEDİZ YURDU	Kütahya	Gediz	Karma	0(274) 412-76-84
GEMLİK ÖĞRENCİ YURDU	Bursa	Gemlik	Karma	0(224) 513-35-87
GEREDE YURDU	Bolu	Gerede	Kız	0(374) 311-50-05
GEREDELİ İSHAK BEY ÖĞRENCİ YURDU	Bolu	Gerede	Erkek	0(374) 311-56-54
GERZE ÖĞRENCİ YURDU	Sinop	Gerze	Kız	—
GEVAŞ ÖĞRENCİ YURDU	Van	Gevaş	Karma	—
GEVHER NESİBE YURDU	Kayseri	Melikgazi	Kız	0(352) 437-73-38
GEVHERHAN SULTAN ÖĞRENCİ YURDU	Aydın	Nazilli	Kız	0(256) 347-66-28
GEYVE ÖĞRENCİ YURDU	Sakarya	Geyve	Karma	—
GSB ANADOLU ÖĞRENCİ YURDU	Ankara	Yenimahalle	Kız	0(312) 514-63-31
GSB BAŞKENT YURTLARI-1	Ankara	Çubuk	Kız	0(549) 479-18-83
GSB BAŞKENT YURTLARI-2	Ankara	Çubuk	Erkek	0(552) 905-01-40
GÖBEKLİTEPE ÖĞRENCİ YURDU	Şanlıurfa	Haliliye	Erkek	0(414) 347-13-44
GÖKSUN YURDU	Kahramanmaraş	Göksun	Karma	0(344) 714-44-26
GÖKÇEADA ÖĞRENCİ YURDU	Çanakkale	Gökçeada	Karma	0(286) 887-22-73
GÖLBAŞI EYMİR ÖĞRENCİ YURDU	Ankara	Gölbaşı/Ankara	Erkek	—
GÖLBAŞI ÖĞRENCİ YURDU	Ankara	Gölbaşı/Ankara	Erkek	0(312) 484-87-96
GÖLBAŞI ŞEHİT ÖZEL HAREKATÇILAR ÖĞRENCİ YURDU	Ankara	Gölbaşı/Ankara	Kız	0(312) 484-02-83
GÖLCÜK ÖĞRENCİ YURDU	Kocaeli	Gölcük	Karma	0(262) 422-50-57
GÖLHİSAR ÖĞRENCİ YURDU	Burdur	Gölhisar	Karma	0(248) 411-50-02
GÖNENLİ MEHMET EFENDİ ÖĞRENCİ YURDU	Balıkesir	Gönen/Balıkesir	Karma	0(266) 502-03-01
GÖRDES MOLLA GÜRANİ ÖĞRENCİ YURDU	Manisa	Gördes	Karma	0(236) 547-20-30
GÖRELE ÖĞRENCİ YURDU	Giresun	Görele	Karma	0(454) 554-00-66
GÜLBAHAR HATUN ÖĞRENCİ YURDU	Trabzon	Ortahisar	Kız	0(462) 229-37-10
GÜLCEMAL HATUN ÖĞRENCİ YURDU	Samsun	Atakum	Erkek	0(362) 428-1030
GÜLCİHAN ÖĞRENCİ YURDU	Isparta	Isparta/Merkez	Kız	0(246) 237-13-25
GÜLKENT ÖĞRENCİ YURDU	Isparta	Keçiborlu	Karma	0(246) 541-26-12
GÜLPEMBE HATUN ÖĞRENCİ YURDU	Giresun	Giresun/Merkez	Kız	0(454) 215-70-73
GÜLRUH HATUN ÖĞRENCİ YURDU	Bursa	Nilüfer	Kız	—
GÜLSÜM ANA ÖĞRENCİ YURDU	Tokat	Tokat/Merkez	Kız	0(356) 250-00-06
GÜLİSTAN ÖĞRENCİ YURDU	Isparta	Isparta/Merkez	Kız	0(246) 237-13-26
GÜLŞEHİR ÖĞRENCİ YURDU	Nevşehir	Gülşehir	Kız	—
GÜLŞENİ ÖĞRENCİ YURDU	Edirne	Edirne/Merkez	Kız	0(284) 214-05-10
GÜMÜŞHACIKÖY ÖĞRENCİ YURDU	Amasya	Gümüşhacıköy	Karma	0(358) 502-39-39
GÜMÜŞHANE HALİT ZARBUN ÖĞRENCİ YURDU	Gümüşhane	Gümüşhane/Merkez	Kız	0(456) 213-47-90
GÜMÜŞHANE YURDU	Gümüşhane	Gümüşhane/Merkez	Kız	0(456) 233-71-61
GÜNDÜZALP ÖĞRENCİ YURDU	Eskişehir	Tepebaşı	Erkek	0(222) 340-51-96
GÜNEBAKAN ÖĞRENCİ YURDU	Tekirdağ	Süleymanpaşa	Kız	0(282) 293-20-67
GÜNEYSU YURT MÜDÜRLÜĞÜ	Rize	Güneysu	Karma	—
GÜRÜN-ENVER BOSTANCI ÖĞRENCİ YURDU	Sivas	Sivas/Merkez	Karma	0(346) 715-31-02
GÜZELHİSAR ÖĞRENCİ YURDU	Aydın	Efeler	Kız	0(256) 503-34-72
GÜZELYURT ÖĞRENCİ YURDU	Aksaray	Güzelyurt	Karma	0(382) 451-21-24
GİRESUN SAHİL ÖĞRENCİ YURDU	Giresun	Giresun/Merkez	Karma	—
GİRESUN YURDU	Giresun	Giresun/Merkez	Karma	0(454) 214-1676
HACER ANA ÖĞRENCİ YURDU	Şanlıurfa	Haliliye	Kız	0(414) 376-10-42
HACI AHMET TATARİ YURDU	İzmir	Buca	Erkek	0(232) 420-51-60
HACI BEKTAŞ-I VELİ ÖĞRENCİ YURDU	Nevşehir	Nevşehir/Merkez	Erkek	—
HACI MURAT VELİ ÖĞRENCİ YURDU	Çankırı	Çankırı/Merkez	Erkek	—
HACI MUSTAFA EFENDİZADE ÖĞRENCİ YURDU	Aydın	Nazilli	Erkek	0(256) 314-12-19
HACI SİNAN ÖĞRENCİ YURDU	İzmir	Bayındır	Karma	0(232) 581-25-35
HACI ÖMER SABANCI YURDU(ANKARA)	Ankara	Yenimahalle	Kız	0(312) 212-67-80
HACI İBRAHİM PAŞA ÖĞRENCİ YURDU	Bartın	Bartın/Merkez	Kız	0(378) 237-83-23
HACI ŞABAN CENGİZ ÖĞRENCİ YURDU	Gümüşhane	Torul	Karma	—
HACIVEYİSZADE ÖĞRENCİ YURDU	Konya	Meram	Erkek	0(332) 501-13-93
HADİM ÖĞRENCİ YURDU	Konya	Hadim	Karma	0(332) 418-15-10
HAFIZ HASAN ŞEN ÖĞRENCİ YURDU	Düzce	Bahçeşehir/Düzce	Erkek	0(380) 411-64-51
HAFIZ MUSTAFA SÜMER ÖĞRENCİ YURDU	Ankara	Nallıhan	Erkek	0(312) 785-12-50
HAFİK ÖĞRENCİ YURDU	Sivas	Hafik	Karma	0(346) 841-22-20
HAKKARİ YURDU	Hakkâri	Hakkari/Merkez	Erkek	—
HALUK NUR BAKİ ÖĞRENCİ YURDU	Nevşehir	Nevşehir/Merkez	Erkek	0(384) 215-41-55
HALİD BİN VELİD ÖĞRENCİ YURDU	Diyarbakır	Bağlar	Erkek	—
HALİME HATUN KIZ ÖĞRENCİ YURDU (YENİ)	Bursa	Nilüfer	Kız	0(224) 442-80-28
HALİT ZARBUN ERKEK ÖĞRENCİ YURDU	Gümüşhane	Gümüşhane/Merkez	Erkek	—
HAMDİ EFENDİ ÖĞRENCİ YURDU	Artvin	Borçka	Karma	0(466) 415-26-46
HAMDİYE YILDIRIM ÖĞRENCİ YURDU	Trabzon	Of	Kız	0(462) 771-75-24
HAMİD-İ VELİ ÖĞRENCİ YURDU	Aksaray	Aksaray/Merkez	Erkek	0(382) 505-01-01
HAMİDİYE ÖĞRENCİ YURDU	Kırıkkale	Yahşihan	Erkek	0(318) 310-10-75
HANZADE HATUN ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	İzmir	Çiğli	Kız	0(232) 839-06-00
HARPUT ÖĞRENCİ YURDU	Elazığ	Elazığ/Merkez	Kız	—
HARRAN YURDU(Ş.URFA)	Şanlıurfa	Haliliye	Kız	0(414) 344-00-53
HASAN BASRİ ÇANTAY ÖĞRENCİ YURDU	Balıkesir	Bigadiç	Erkek	0(266) 612-14-40
HASSA HATUN ÖĞRENCİ YURDU	Siirt	Siirt/Merkez	Kız	0(484) 254-21-35
HATTAT EMİN BARIN ÖĞRENCİ YURDU	Bolu	Bolu/Merkez	Erkek	0(374) 202-00-82
HATTAT HASAN ÇELEBİ YURDU	Erzurum	Yakutiye	Kız	—
HATUNİYE ÖĞRENCİ YURDU	Karaman	Karaman/Merkez	Kız	0(338) 228-03-17
HATİCE HAYRİYE TURGUTLU ÖĞRENCİ YURDU	Manisa	Turgutlu	Kız	0(236) 312-79-02
HATİCE TURHAN SULTAN ÖĞRENCİ YURDU	Zonguldak	Zonguldak/Merkez	Kız	0(372) 281-00-16
HAVZA ÖĞRENCİ YURDU	Samsun	Havza	Karma	0(362) 714-55-92
HAYDAR ALİYEV ÖĞRENCİ YURDU	İstanbul	Maltepe	Erkek	0(216) 766-44-13
HAYMANA ÖĞRENCİ YURDU	Ankara	Haymana	Kız	0(552) 905-12-23
HAYME ANA ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Kız	0(274) 230-03-33
HAYREDDİN TOKADİ ÖĞRENCİ YURDU	Bolu	Bolu/Merkez	Kız	0(374) 253-41-11
HAYRETTİN KARAMAN ÖĞRENCİ YURDU	Çorum	Çorum/Merkez	Kız	—
HENDEK YURDU	Sakarya	Hendek	Kız	—
HEZAR DİNARİ ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Erkek	0(274) 265-30-33
HINIS ÖĞRENCİ YURDU	Erzurum	Hınıs	Karma	0(442) 511-22-35
HIZIR BEY ÖĞRENCİ YURDU	Eskişehir	Tepebaşı	Karma	0(531) 698-10-60
HOCA AHMET YESEVİ YURDU(İZMİR)	İzmir	Buca	Kız	0(232) 453-16-67
HONAZ ÖĞRENCİ YURDU	Denizli	Honaz	Karma	0(258) 811-20-23
HOPA ÖĞRENCİ YURDU	Artvin	Hopa	Karma	0(466) 351-11-64
HORASAN ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Erzurum	Horasan	Karma	0(442) 711-25-33
HUBBİ HATUN ÖĞRENCİ YURDU	Karabük	Karabük/Merkez	Kız	0(370) 433-4299
HUNAT HATUN ÖĞRENCİ YURDU	Kayseri	Talas	Kız	0(352) 502-32-69
HUNDİ HATUN ÖĞRENCİ YURDU	Kırklareli	Kırklareli/Merkez	Kız	0(288) 212-02-75
HÜNKAR ÖĞRENCİ YURDU	Nevşehir	Hacıbektaş	Karma	0(384) 441-35-58
HÜSEYİN GAZİ ÖĞRENCİ YURDU	Ankara	Altındağ	Erkek	0(312) 502-40-33
HÜSNÜ ÖZYEĞİN ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Kız	—
HÜSNÜŞAH HATUN ÖĞRENCİ YURDU	Amasya	Amasya/Merkez	Kız	0(358) 252-78-50
HİTİT ÖĞRENCİ YURDU	Çorum	Çorum/Merkez	Kız	0(364) 225-44-30
ILGAZ ÖĞRENCİ YURDU	Çankırı	Ilgaz	Kız	—
ILGIN ÖĞRENCİ YURDU	Konya	Ilgın	Erkek	—
ISPARTA MURAD HÜDAVENDİGAR ÖĞRENCİ YURDU	Isparta	Isparta/Merkez	Erkek	0(246) 237-07-44
ISPARTA ÖĞRENCİ YURDU	Isparta	Isparta/Merkez	Erkek	0(246) 502-04-23
KADI BURHANEDDİN ÖĞRENCİ YURDU	Sivas	Sivas/Merkez	Erkek	0(346) 219-13-15
KADINHANI-F. ALİ-FATMA SÜNDÜS İÇİL YURDU	Konya	Kadınhanı	Karma	0(332) 834-2403
KADIRGA ERKEK ÖĞRENCİ YURDU	İstanbul	Fatih	Erkek	0(212) 517-94-72
KADİRLİ ÖĞRENCİ YURDU	Osmaniye	Kadirli	Karma	0(551) 835-16-02
KAHRAMANMARAŞ AVŞAR ÖĞRENCİ YURDU	Kahramanmaraş	Onikişubat	Erkek	0(344) 290-14-17
KAHTA YURDU	Adıyaman	Kahta	Karma	—
KALETEPE ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Kırıkkale	Yahşihan	Kız	0(318) 357-27-04
KAMAN ÖĞRENCİ YURDU	Kırşehir	Kaman	Karma	0(386) 712-60-71
KAMİL MİRAS ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Erkek	0(272) 228-11-82
KANDIRA-İL ÖZEL İDARESİ YURDU	Kocaeli	Kandıra	Karma	0(533) 459-45-00
KANGAL HASAN YILMAZ ÖĞRENCİ YURDU	Sivas	Kangal	Karma	0(346) 457-10-31
KANUNİ SULTAN SÜLEYMAN ÖĞRENCİ YURDU	İstanbul	Başakşehir	Erkek	0(212) 812-30-07
KAPADOKYA ÖĞRENCİ YURDU	Nevşehir	Nevşehir/Merkez	Kız	0(384) 502-03-13
KARA MUSTAFA PAŞA ÖĞRENCİ YURDU	Amasya	Merzifon	Erkek	0(358) 513-42-70
KARABAĞLAR ÖĞRENCİ YURDU	İzmir	Karabağlar	Erkek	—
KARABÜK BAHADDİN GAZİ YURDU	Karabük	Safranbolu	Erkek	0(370) 741-30-50
KARABÜK YURDU	Karabük	Karabük/Merkez	Kız	0(370) 433-42-88
KARABÜK-TAŞKENT ÖĞRENCİ YURDU	Karabük	Karabük/Merkez	Kız	0(370) 412-12-02
KARACABEY ÖĞRENCİ YURDU	Bursa	Karacabey	Karma	—
KARACAOĞLAN ÖĞRENCİ YURDU	Osmaniye	Osmaniye/Merkez	Erkek	0(328) 802-06-13
KARACASU ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Aydın	Karacasu	Erkek	—
KARADENİZ EREĞLİ YURDU	Zonguldak	Ereğli/Zonguldak	Karma	0(372) 316-25-81
KARADENİZ ERKEK YURDU	Samsun	Atakum	Erkek	—
KARADENİZ YURDU	Samsun	Atakum	Kız	0(362) 457-72-46
KARAHANTEPE ÖĞRENCİ YURDU	Şanlıurfa	Haliliye	Karma	—
KARAMAN PİRİ REİS ÖĞRENCİ YURDU	Karaman	Karaman/Merkez	Erkek	0(338) 217-68-77
KARAMAN YURDU	Karaman	Karaman/Merkez	Kız	—
KARAMANOĞLU MEHMETBEY ÖĞRENCİ YURDU	Karaman	Karaman/Merkez	Erkek	—
KARAMÜRSEL-GAZANFER BİLGE ÖĞRENCİ YURDU	Kocaeli	Karamürsel	Karma	0(262) 452-16-88
KARASU ÖĞRENCİ YURDU	Sakarya	Karasu	Karma	0(264) 718-66-71
KARS YURDU	Kars	Kars/Merkez	Erkek	0(474) 242-71-50
KARS-HASAN HARAKANİ ÖĞRENCİ YURDU	Kars	Kars/Merkez	Kız	0(474) 225-14-33
KARTAL BEY ÖĞRENCİ YURDU	Kilis	Kilis/Merkez	Erkek	0(348) 814-24-20
KARTEPE ÖĞRENCİ YURDU	Kocaeli	Kartepe	Erkek	—
KASIMİYE ÖĞRENCİ YURDU	Mardin	Artuklu	Erkek	—
KASTAMONU HÜMA HATUN ÖĞRENCİ YURDU	Kastamonu	Kastamonu/Merkez	Kız	0(366) 215-2702
KASTAMONU YURDU	Kastamonu	Kastamonu/Merkez	Erkek	0(366) 215-09-13
KATİP ÇELEBİ ÖĞRENCİ YURDU	Karabük	Safranbolu	Kız	0(370) 741-21-82
KAVAK ÖĞRENCİ YURDU	Samsun	Kavak	Karma	—
KAYIBOYU ÖĞRENCİ YURDU	Osmaniye	Osmaniye/Merkez	Kız	0(328) 802-55-03
KAYSERİ ÖĞRENCİ YURDU	Kayseri	Talas	Erkek	0(352) 502-90-34
KAZIM KARABEKİR YURDU	Erzurum	Yakutiye	Kız	0(442) 282-20-81
KAĞIZMANLI HIFZI ÖĞRENCİ YURT MÜDÜRLÜĞÜ	Kars	Kağızman	Karma	—
KAŞGARLI MAHMUT ÖĞRENCİ YURDU	Ardahan	Ardahan/Merkez	Erkek	0(478) 211-35-23
KEMAH YURDU	Erzincan	Kemah	Karma	0(446) 511-31-05
KEMALİYE-OSMAN NURİ AKIN YURDU	Erzincan	Kemaliye	Karma	0(446) 751-28-61
KEREBİ GAZİ ÖĞRENCİ YURDU	Çorum	Çorum/Merkez	Erkek	0(364) 227-80-53
KERİME SULTAN ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Erkek	0(286) 502-05-30
KESKİN YURDU	Kırıkkale	Keskin	Karma	—
KEŞAN YURDU	Edirne	Keşan	Kız	0(284) 715-20-68
KINALI HASAN ÖĞRENCİ YURDU	Yozgat	Yozgat/Merkez	Kız	0(354) 502-22-93
KIRIKKALE HATİCE HANIM ÖĞRENCİ YURDU	Kırıkkale	Yahşihan	Kız	0(318) 357-25-53
KIRIKKALE-KIZILIRMAK KIZ ÖĞRENCİ YURDU	Kırıkkale	Yahşihan	Kız	—
KIRKAĞAÇ ÖĞRENCİ YURDU	Manisa	Kırkağaç	Karma	0(236) 588-14-49
KIRKLARELİ YURDU	Kırklareli	Kırklareli/Merkez	Erkek	0(288) 212-13-41
KIRŞEHİR TOBB ÖĞRENCİ YURDU	Kırşehir	Kırşehir/Merkez	Kız	0(386) 502-03-72
KIRŞEHİR-AHİ EVRAN KIZ ÖĞRENCİ YURDU	Kırşehir	Kırşehir/Merkez	Kız	0(386) 214-41-14
KIZILCAHAMAM ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Ankara	Kızılcahamam	Kız	0(312) 736-13-40
KIZILIRMAK ÖĞRENCİ YURDU	Sivas	Sivas/Merkez	Kız	0(346) 217-12-67
KOCAELİ VİLAYETLER HİZMET BİRLİĞİ YURDU	Kocaeli	İzmit	Erkek	0(262) 359-12-87
KOCAELİ ZEKİYE GÜNDOĞDU YURDU	Kocaeli	İzmit	Kız	0(262) 311-70-13
KOCAELİ ÖĞRENCİ YURDU	Kocaeli	İzmit	Erkek	—
KOCASİNAN ÖĞRENCİ YURDU	Kayseri	Kocasinan	Kız	0(352) 235-21-15
KONYA KIZ YURDU	Konya	Selçuklu	Kız	0(332) 261-23-11
KONYA-KİMYA HATUN KIZ YURDU	Konya	Selçuklu	Kız	0(332) 290-29-15
KONYA-ŞEMS-İ TEBRİZİ ÖĞRENCİ YURDU	Konya	Selçuklu	Kız	0(332) 241-25-22
KORKUTELİ ÖĞRENCİ YURDU	Antalya	Korkuteli	Karma	0(242) 643-37-00
KOZAKLI ÖĞRENCİ YURDU	Nevşehir	Kozaklı	Kız	—
KOZAN ÖĞRENCİ YURDU	Adana	Kozan	Karma	0(322) 515-01-06
KOZLU ÖĞRENCİ YURDU	Zonguldak	Kozlu	Kız	—
KOÇARLI ÖĞRENCİ YURDU	Aydın	Koçarlı	Karma	0(256) 502-94-75
KULA ÖĞRENCİ YURDU	Manisa	Kula	Karma	—
KUMLUCA ÖĞRENCİ YURDU	Antalya	Kumluca	Karma	—
KURTALAN ÖĞRENCİ YURDU	Siirt	Kurtalan	Karma	—
KUT'UL AMARE ÖĞRENCİ YURDU	Adana	Sarıçam	Erkek	—
KUTALMIŞOĞLU SÜLEYMAN ŞAH ÖĞRENCİ YURDU	Konya	Selçuklu	Erkek	—
KUTLUBEY ÖĞRENCİ YURDU	Isparta	Uluborlu	Karma	0(246) 531-22-85
KÖPRÜBAŞI ÖĞRENCİ YURDU	Manisa	Köprübaşı/Manisa	Karma	0(236) 473-71-00
KÜRTÜN ÖĞRENCİ YURDU	Gümüşhane	Kürtün	Karma	0(456) 721-50-10
KÜTAHYA-ZAFERTEPE ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Kız	0(274) 265-22-94
KİLİMLİ ÖĞRENCİ YURT MÜDÜRLÜĞÜ	Zonguldak	Kilimli	Karma	0(372) 502-40-11
KİLİS KIZ ÖĞRENCİ YURDU	Kilis	Kilis/Merkez	Kız	0(348) 813-33-07
KİLİS MERCİDABIK ÖĞRENCİ YURDU	Kilis	Kilis/Merkez	Kız	0(348) 822-10-52
KİLİS ZEYTİNDALI ÖĞRENCİ YURDU	Kilis	Kilis/Merkez	Kız	0(348) 813-15-55
LATİFE HANIM ÖĞRENCİ YURDU	Uşak	Uşak/Merkez	Kız	0(276) 263-40-87
LÜLEBURGAZ ÖĞRENCİ YURDU	Kırklareli	Lüleburgaz	Kız	0(288) 415-77-41
LİMONLUK GSB YURDU	Mersin	Yenişehir/Mersin	Erkek	—
MAHMUD KEFEVİ ÖĞRENCİ YURDU	Sinop	Sinop/Merkez	Erkek	0(368) 201-01-12
MAHMUT CELALETTİN ÖKTEN ÖĞRENCİ YURDU	İstanbul	Sancaktepe	Erkek	0(216) 510-62-50
MAHMUT NEDİM ZAPÇI YURDU	Ankara	Çankaya	Kız	0(312) 431-18-37
MAHMUT SAMİ RAMAZANOĞLU ÖĞRENCİ YURDU	Adana	Sarıçam	Kız	—
MAHPERİ HATUN ÖĞRENCİ YURDU	Aksaray	Aksaray/Merkez	Kız	0(382) 216-15-50
MAHPEYKER SULTAN ÖĞRENCİ YURDU	Düzce	Düzce/Merkez	Kız	0(380) 542-12-20
MAHİR İZ ÖĞRENCİ YURDU	İstanbul	Esenyurt	Erkek	0(212) 423-34-67
MALATYA KIZ YURDU	Malatya	Battalgazi	Kız	0(422) 341-01-67
MALAZGİRT ÖĞRENCİ YURDU	Muş	Malazgirt	Karma	—
MALHUN HATUN ÖĞRENCİ YURDU	Bursa	Nilüfer	Kız	0(224) 483-73-43
MANAVGAT ÖĞRENCİ YURDU	Antalya	Manavgat	Kız	—
MANAVGAT ŞELALE ÖĞRENCİ YURDU	Antalya	Manavgat	Erkek	—
MANYAS ÖĞRENCİ YURDU	Balıkesir	Manyas	Kız	0(266) 818-20-21
MANİSA YUNUS EMRE ÖĞRENCİ YURDU	Manisa	Yunusemre	Kız	0(236) 241-25-94
MANİSA-HÜMA HATUN ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Manisa	Yunusemre	Kız	—
MANİSA-MURADİYE ÖĞRENCİ YURDU	Manisa	Yunusemre	Kız	—
MARDİN KIZ ÖĞRENCİ YURDU	Mardin	Artuklu	Kız	—
MARMARİS ÖĞRENCİ YURDU	Muğla	Marmaris	Karma	—
MAÇKA-ŞÜKRÜ KARADENİZ ÖĞRENCİ YURDU	Trabzon	Maçka	Karma	—
MECİDİYE ÖĞRENCİ YURDU	Kırşehir	Çiçekdağı	Kız	0(386) 612-30-30
MEHMED EMİN TOKADİ ÖĞRENCİ YURDU	Tokat	Tokat/Merkez	Kız	0(356) 232-94-52
MEHMED EŞREF EFENDİ ÖĞRENCİ YURDU	Kırklareli	Lüleburgaz	Erkek	0(288) 502-02-30
MEHMED ZAHİD KOTKU ÖĞRENCİ YURDU	Bursa	Nilüfer	Erkek	0(224) 483-48-21
MEHMET AKİF YURDU(ANKARA)	Ankara	Yenimahalle	Kız	0(312) 212-61-10
MEHMET AKİF İNAN ÖĞRENCİ YURDU	Şanlıurfa	Haliliye	Erkek	0(414) 315-50-97
MEHMET EMİN PAŞA ÖĞRENCİ YURDU	Karaman	Kazımkarabekir	Karma	—
MEHMET FUAD KÖPRÜLÜ ÖĞRENCİ YURDU	Ordu	Altınordu	Kız	—
MEHMET HACIM ÖĞRENCİ YURDU	Uşak	Uşak/Merkez	Erkek	0(276) 502-02-40
MEHMET RIFAT EFENDİ ÖĞRENCİ YURDU	Bartın	Bartın/Merkez	Erkek	0(378) 502-06-60
MEHMET VEHBİ ÇELİK ÖĞRENCİ YURDU	Konya	Kulu	Karma	0(332) 641-01-27
MELİKE CİHAN ÖĞRENCİ YURDU	Konya	Selçuklu	Kız	0(332) 503-27-03
MELİKE HATUN ÖĞRENCİ YURDU	Konya	Selçuklu	Kız	0(332) 350-89-02
MELİKGAZİ KIZ ÖĞRENCİ YURDU	Kayseri	Melikgazi	Kız	0(352) 438-38-12
MENTEŞE ÖĞRENCİ YURDU	Muğla	Menteşe	Kız	0(252) 502-35-23
MERAM YURDU	Konya	Meram	Kız	0(332) 502-09-20
MERKEZ EFENDİ ÖĞRENCİ YURDU	Manisa	Şehzadeler	Erkek	0(236) 232-32-58
MERKEZEFENDİ ÖĞRENCİ YURDU	İstanbul	Zeytinburnu	Kız	0(212) 547-13-12
MERSİN GSB YURDU	Mersin	Akdeniz	Erkek	0(324) 502-28-13
MERSİN KIZ ÖĞRENCİ YURDU	Mersin	Yenişehir/Mersin	Kız	0(324) 290-25-20
MERSİN-YENİŞEHİR ÖĞRENCİ YURDU	Mersin	Yenişehir/Mersin	Erkek	0(324) 290-42-28
MERTER ÖĞRENCİ YURDU	İstanbul	Zeytinburnu	Kız	0(212) 886-21-78
MERYEM YAZICIOĞLU ÖĞRENCİ YURDU	Aydın	Söke	Kız	0(256) 502-16-58
MERZİFON YURDU	Amasya	Merzifon	Kız	0(358) 513-42-68
MERİÇ ÖĞRENCİ YURDU	Edirne	Edirne/Merkez	Kız	—
MESNEVİ ÖĞRENCİ YURDU	Konya	Selçuklu	Kız	—
MEVLANA KIZ YURDU	Konya	Selçuklu	Kız	0(332) 235-91-29
MEVLÜT KAHRAMAN ÖĞRENCİ YURDU	Kayseri	Tomarza	Kız	0(352) 504-30-99
MOGAN ÖĞRENCİ YURDU	Ankara	Gölbaşı/Ankara	Erkek	0(312) 502-45-33
MUDURNU-HACI MEHMET ASTARCI YURDU	Bolu	Mudurnu	Karma	0(374) 421-21-14
MUHAMMED BEDEVİ ÖĞRENCİ YURDU	Kilis	Kilis/Merkez	Kız	0(348) 813-11-31
MUHAMMET FATİH SAFİTÜRK ÖĞRENCİ YURDU	Sakarya	Arifiye	Erkek	—
MUHYİDDİN İBN-İ ARABİ ÖĞRENCİ YURDU	Hatay	İskenderun	Erkek	0(326) 618-00-53
MUHYİDDİN-İ RUMİ ÖĞRENCİ YURDU	Balıkesir	Ayvalık	Erkek	0(266) 412-11-18
MUNZUR ÖĞRENCİ YURDU	Tunceli	Tunceli/Merkez	Erkek	—
MURAT ÇOBANOĞLU ÖĞRENCİ YURDU	Kars	Kars/Merkez	Kız	0(474) 502-00-68
MURATPAŞA ÖĞRENCİ YURDU	Antalya	Konyaaltı	Erkek	0(242) 227-29-30
MUSTAFA ASIM KÖKSAL ÖĞRENCİ YURDU	Kayseri	Talas	Kız	—
MUSTAFA GÜL ÖĞRENCİ YURDU	Gümüşhane	Şiran	Karma	0(456) 511-74-71
MUĞLA ERKEK YURDU	Muğla	Menteşe	Erkek	0(252) 223-80-12
MUĞLA MİLLİ PİYANGO KIZ YURDU	Muğla	Menteşe	Kız	0(252) 223-89-73
MUĞLA-ORTACA YURDU	Muğla	Milas	Karma	0(252) 282-98-92
MUŞ 1071 ÖĞRENCİ YURDU	Muş	Muş/Merkez	Erkek	—
MUŞ MÜŞTAK BABA ÖĞRENCİ YURDU	Muş	Muş/Merkez	Kız	0(436) 213-03-34
MÜFİDE İLHAN ÖĞRENCİ YURDU	Mersin	Yenişehir/Mersin	Kız	0(324) 502-62-86
MÜKRİME HATUN ÖĞRENCİ YURDU	Eskişehir	Tepebaşı	Kız	0(222) 321-44-32
MÜNEVVER AYAŞLI ÖĞRENCİ YURDU	Samsun	Atakum	Karma	0(362) 457-55-12
MÜNÜR ÖZKURT ÖĞRENCİ YURDU	Trabzon	Akçaabat	Erkek	—
MÜRSEL PAŞA ÖĞRENCİ YURDU	Bingöl	Bingöl/Merkez	Erkek	0(426) 213-10-75
MİHRİ HATUN ÖĞRENCİ YURDU	Isparta	Isparta/Merkez	Kız	0(246) 237-07-53
